Num_Topics,Log_Perplexity_df_20_P_20_I_50,Topic_Coherence(u_mass)_df_20_P_20_I_50,Topic_Coherence(c_uci)_df_20_P_20_I_50,Topic_Coherence(c_v)_df_20_P_20_I_50,Topic_Coherence(c_npmi)_df_20_P_20_I_50
10.0,-8.249201341477578,-0.8768655294510019,-0.6176119719724577,0.37658887694683124,0.021450862666112517
20.0,-8.211794907460051,-0.8251491590346648,-0.14457261405397812,0.42233414498314537,0.0369347744738875
30.0,-8.196360183702724,-1.8852662426333524,-0.7268287747716455,0.42288091158915503,0.03211094921927544
40.0,-8.197408632948767,-1.1562325114688794,-0.5870429924718071,0.4531308402363499,0.03695806792237875
50.0,-8.20055584027636,-1.334312804864808,-0.5738292044060663,0.44903254261132675,0.03105388584582425
60.0,-8.203901752639295,-1.3800758602151226,-1.0006661426215548,0.4219799457623318,0.002968332496308743
70.0,-8.225967054891402,-1.4254326439918559,-0.9559168517514235,0.42383060087496005,0.003637440088824701
80.0,-8.21578207570362,-1.4240412700832417,-0.9354278711719101,0.41321092607862936,-0.002954279327843069
90.0,-8.218073801794102,-1.3899168121839298,-0.7637918307563715,0.4611711251853411,0.014256351143519202
100.0,-8.221335007538878,-1.0932626941927037,-0.8715908692802549,0.4190294492055385,5.199518494492433e-05
